,0
li_cCA,50.18864571325233
li_cCDCA,45.116985382488
li_cSBA,27.481145742410956
li_uCA,-7.799194616376071e-20
li_uCDCA,-1.1902301205736248e-20
li_uSBA,2.2844242337837448e-20
bd_cCA,2176.3776169130697
bd_cCDCA,1956.8194891494818
bd_cSBA,1189.5949244193557
bd_uCA,0.5619170522194473
bd_uCDCA,0.5069473541174992
bd_uSBA,0.1820482067362892
dsi_cCA,122.51624432644378
dsi_cCDCA,110.15795708682533
dsi_cSBA,66.9594717392004
dsi_uCA,2.4321812204703916
dsi_uCDCA,2.1868728510141833
dsi_uSBA,1.3291214118415315
co_cCA,70.03156559226272
co_cCDCA,62.87926641202409
co_cSBA,37.9373416789544
co_uCA,98.27225907851148
co_uCDCA,111.76720002142582
co_uSBA,1329.3475182035277
pl_cCA,1.0270214485664102
pl_cCDCA,3.53591995796921
pl_cSBA,2.1492529932633144
pl_uCA,0.32542717043013336
pl_uCDCA,0.4063273194961641
pl_uSBA,1.0866785766523939
